player_name,feet,inches,weight,draft_info
Adonai Mitchell,6,4,190,"Draft: 2nd round, 52nd overall of the 2024 NFL draft by the Indianapolis Colts"
Audric Estime,6,1,215,"Draft: 5th round, 147th overall of the 2024 NFL draft by the Denver Broncos"
Ben Sinnot,6,4,245,"Draft: 2nd round, 53rd overall of the 2024 NFL draft by the Washington Commanders"
Blake Corum,5,8,200,"Draft: 3rd round, 83rd overall of the 2024 NFL draft by the Los Angeles Rams"
Braelon Allen,6,2,238,"Draft: 4th round, 134th overall of the 2024 NFL draft by the New York Jets"
Brenden Rice,6,3,205,"Draft: 7th round, 225th overall of the 2024 NFL draft by the Los Angeles Chargers"
Brock Bowers,6,4,230,"Draft: 1st round, 13th overall of the 2024 NFL draft by the Las Vegas Raiders"
Bucky Irving,5,10,190,"Draft: 4th round, 125th overall of the 2024 NFL draft by the Tampa Bay Buccaneers"
Devontez Walker,6,3,175,"Draft: 4th round, 113th overall of the 2024 NFL draft by the Baltimore Ravens"
Drake Maye,6,5,220,"Draft: 1st round, 3rd overall of the 2024 NFL draft by the New England Patriots"
Isaac Guerendo,6,0,219,"Draft: 4th round, 129th overall of the 2024 NFL draft by the San Francisco 49ers"
J.J. McCarthy,6,3,197,"Draft: 1st round, 10th overall of the 2024 NFL draft by the Minnesota Vikings"
Ja'Lynn Polk,6,2,190,"Draft: 2nd round, 37th overall of the 2024 NFL draft by the New England Patriots"
Ja'Tavion Sanders,6,4,256,"Draft: 4th round, 101st overall of the 2024 NFL draft by the Carolina Panthers"
Jacob Cowing,5,11,170,"Draft: 4th round, 135th overall of the 2024 NFL draft by the San Francisco 49ers"
Jamari Thrash,6,0,180,"Draft: 5th round, 156th overall of the 2024 NFL draft by the Cleveland Browns"
Javon Baker,6,2,195,"Draft: 4th round, 110th overall of the 2024 NFL draft by the New England Patriots"
Jayden Daniels,6,3,185,"Draft: 1st round, 2nd overall of the 2024 NFL draft by the Washington Commanders"
Jaylen Wright,5,11,200,"Draft: 4th round, 120th overall of the 2024 NFL draft by the Miami Dolphins"
Jermaine Burton,6,0,200,"Draft: 3rd round, 80th overall of the 2024 NFL draft by the Cincinnati Bengals"
Keon Coleman,6,4,210,"Draft: 2nd round, 33rd overall of the 2024 NFL draft by the Buffalo Bills"
Kimani Vidal,5,8,215,"Draft: 6th round, 181st overall of the 2024 NFL draft by the Los Angeles Chargers"
Ladd McConkey,6,0,185,"Draft: 2nd round, 34th overall of the 2024 NFL draft by the Los Angeles Chargers"
Luke McCaffrey,6,2,200,"Draft: 3rd round, 100th overall of the 2024 NFL draft by the Washington Commanders"
Malachi Corley,5,11,200,"Draft: 3rd round, 65th overall of the 2024 NFL draft by the New York Jets"
Malik Nabers,6,1,188,"Draft: 1st round, 6th overall of the 2024 NFL draft by the New York Giants"
Malik Washington,5,9,192,"Draft: 6th round, 184th overall of the 2024 NFL draft by the Miami Dolphins"
MarShawn Lloyd,5,9,215,"Draft: 3rd round, 88th overall of the 2024 NFL draft by the Green Bay Packers"
Ricky Pearsall,6,1,200,"Draft: 1st round, 31st overall of the 2024 NFL draft by the San Francisco 49ers"
Roman Wilson,6,0,180,"Draft: 3rd round, 84th overall of the 2024 NFL draft by the Pittsburgh Steelers"
Rome Odunze,6,3,200,"Draft: 1st round, 9th overall of the 2024 NFL draft by the Chicago Bears"
Spencer Rattler,6,1,200,"Draft: 5th round, 150th overall of the 2024 NFL draft by the New Orleans Saints"
Theo Johnson,6,6,250,"Draft: 4th round, 107th overall of the 2024 NFL draft by the New York Giants"
Will Shipley,5,11,200,"Draft: 4th round, 127th overall of the 2024 NFL draft by the Philadelphia Eagles"
Xavier Worthy,6,1,160,"Draft: 1st round, 28th overall of the 2024 NFL draft by the Kansas City Chiefs"
Dylan Laube,5,10,206,"Draft: 6th round, 208th overall of the 2024 NFL draft by the Las Vegas Raiders"
Jonathan Brooks,6,0,216,"Draft: 2th round, 46th overall of the 2024 NFL draft by the Carolina Panthers"
Ray Davis,5,8,211,"Draft: 4th round, 128th overall of the 2024 NFL draft by the Buffalo Bills"
Xavier Lagette,6,1,221,"Draft: 1st round, 32nd overall of the 2024 NFL draft by the Carolina Panthers"
Bo Nix,6,3,214,"Draft: 1st round, 12th overall of the 2024 NFL draft by the Denver Broncos"
Brian Thomas Jr,6,5,198,"Draft: 1st round, 23rd overall of the 2024 NFL draft by the Jacksonville Jaguars"
Caleb Williams,6,1,218,"Draft: 1st round, 1st overall of the 2024 NFL draft by the Chicago Bears"
Erick All Jr.,6,4,245,"Draft: 4th round, 115th overall of the 2024 NFL draft by the Cincinnati Bengals"
Jalen McMillon,6,1,180,"Draft: 3rd round, 92nd overall of the 2024 NFL draft by the Tampa Bay Buccaneers"
Marvin Harrison Jr,6,3,202,"Draft: 1st round, 4th overall of the 2024 NFL draft by the Arizona Cardinals"
Micheal Penix Jr.,6,3,218,"Draft: 1st round, 8th overall of the 2024 NFL draft by the Atlanta Falcons"
Trey Benson,6,1,211,"Draft: 3rd round, 66th overall of the 2024 NFL draft by the Arizona Cardinals"
Troy Franklin,6,2,170,"Draft: 4th round, 102nd overall of the 2024 NFL draft by the Denver Broncos"
Tyrone Tracy Jr. ,5,11,201,"Draft: 5th round, 166th overall of the 2024 NFL draft by the New York Giants"
