player_name,feet,inches,weight(lbs.),college,high_school_name,high_school_state,draft_team,draft_info,birthday
Jared Goff,6,4,217lb,California,Marin Catholic,CA,Los Angeles Rams,Draft: Los Angeles Rams in the 1st round (1st overall) of the 2016 NFL Draft.,10/14/1994
Evan Engram,6,3,240lb,Mississippi,Hillgrove,GA,New York Giants,Draft: New York Giants in the 1st round (23rd overall) of the 2017 NFL Draft.,9/2/1994
Shane Matthews,6,3,196lb,Florida,Pascagoula,MS,,,6/1/1970
Alec Pierce,6,3,211lb,Cincinnati,Glenbard West,IL,Indianapolis Colts,Draft: Indianapolis Colts in the 2nd round (53rd overall) of the 2022 NFL Draft.,5/2/2000
Jared Cook,6,5,246lb,South Carolina,North Gwinnett,GA,Tennessee Titans,Draft: Tennessee Titans in the 3rd round (89th overall) of the 2009 NFL Draft.,4/7/1987
Kregg Lumpkin,5,11,222lb,Georgia,Stephenson,GA,,,5/15/1984
Alfred Blue,6,2,225lb,LSU,Hahnville,LA,Houston Texans,Draft: Houston Texans in the 6th round (181st overall) of the 2014 NFL Draft.,4/27/1991
Damiere Byrd,5,9,175lb,South Carolina,Timber Creek Regional,NJ,,Pronunciation: \duh-MEER\,1/27/1993
Tyler Conklin,6,3,254lb,Central Michigan,L'Anse Creuse North,MI,Minnesota Vikings,Draft: Minnesota Vikings in the 5th round (157th overall) of the 2018 NFL Draft.,7/30/1995
Christian Kirk,5,11,200,Texas A&M,Saguaro,AZ,Arizona Cardinals,Draft: Arizona Cardinals in the 2nd round (47th overall) of the 2018 NFL Draft.,11/18/1996
Gus Frerotte,6,3,237lb,Tulsa,Ford City,PA,Washington Redskins,Draft: Washington Redskins in the 7th round (197th overall) of the 1994 NFL Draft.,7/31/1971
Greg Camarillo,6,2,200lb,Stanford,Menlo-Atherton,CA,,,4/18/1982
Jahvid Best,5,9,190,California,Salesian Prep,CA,Detroit Lions,Draft: Detroit Lions in the 1st round (30th overall) of the 2010 NFL Draft.,1/30/1989
Darnerien McCants,6,3,214,Delaware St.,Arundel,MD,Washington Redskins,Draft: Washington Redskins in the 5th round (154th overall) of the 2001 NFL Draft.,12/17/1976
Brandon Jones,6,1,208,Oklahoma,Liberty-Eylau,TX,Tennessee Titans,Draft: Tennessee Titans in the 3rd round (96th overall) of the 2005 NFL Draft.,3/20/1982
Muhsin Muhammad,6,2,215,Michigan St.,Waverly,MI,Carolina Panthers,Draft: Carolina Panthers in the 2nd round (43rd overall) of the 1996 NFL Draft.,5/5/1973
Davis Mills,6,4,225,Stanford,Greater Atlanta Christian,GA,Houston Texans,Draft: Houston Texans in the 3rd round (67th overall) of the 2021 NFL Draft.,10/21/1998
Trent Sherfield,6,1,205,Vanderbilt,Danville,IL,,,
Devin Hester,5,11,190,Miami (FL),Suncoast,FL,Chicago Bears,Draft: Chicago Bears in the 2nd round (57th overall) of the 2006 NFL Draft.,
Az-Zahir Hakim,5,10,189,San Diego St.,Fairfax,CA,St. Louis Rams,Draft: St. Louis Rams in the 4th round (96th overall) of the 1998 NFL Draft.,
